,Company,Name,Age,Judges_Evaluation1,Judges_Evaluation2,Ranking_Ep.1,Ranking_Ep.2,Ranking_Ep.3,Ranking_Ep.5,Votes_Ep.5,Ranking_Ep.6,Ranking_Ep.8,Votes_Ep.8,Ranking_Ep.11,Votes_Ep.11,Ranking_Ep.12,Votes_Ep.12,Total_Votes,Final_Ranking,Height,Weight,Skill,TrainningMonths
0,ESteem,Anzardi Timothée ,21,X,F,49,53,61,61,,,,,,,Eliminated,,,61,180,68,singer,3
1,VINE Entertainment ,Baek Jin ,25,B,F,30,32,42,45,98209,30,36,284725,,,Eliminated,,382934,36,174,60,dancer,20
2,Urban Works Media ,Byun Seongtae ,22,D,D,60,67,70,66,,,,,,,Eliminated,,,66,180,64,dancer,41
3,Woollim Entertainment ,Cha Junho ,18,C,C,4,11,11,11,499672,15,13,1011352,11,181445,9,756939,2449408,9,178,63,singer,15
4,Yuehua Entertainment ,Cho Seungyoun ,24,B,B,67,41,38,28,235056,19,17,754435,6,281580,5,929311,2200382,5,183,68,rapper,108
5,Plan A Entertainment,Choi Byungchan  ,23,A,A,20,25,20,19,329821,14,16,888115,,,Left the Show,,1217936,31,184,70,singer,59
6,Enfant Terrible Company ,Choi Byunghoon ,20,D,F,91,94,97,98,,,,,,,Eliminated,,,98,174,57,rapper,13
7,WUZO Entertainment,Choi Jinhwa ,18,A,D,75,92,81,74,,,,,,,Eliminated,,,74,180,64,rapper,7
8,Jellyfish Entertainment ,Choi Junseong ,18,B,D,59,63,40,39,120879,41,46,221745,,,Eliminated,,342624,46,170,55,singer,23
9,Around Us Entertainment,Choi Sihyuk ,20,B,C,69,70,74,79,,,,,,,Eliminated,,,79,171,58,singer,20
10,Individual Trainee ,Choi Suhwan ,19,A,A,56,56,24,24,280824,28,29,363605,28,,Eliminated,,644,28,167,54,singer,25
11,Cre.ker Entertainment ,Gwon Huijun ,19,X,F,44,46,50,53,79864,52,56,157020,,,Eliminated,,236884,56,174,56,dancer,3
12,Starship Entertainment ,Ham Wonjin ,19,D,A,19,15,12,10,578263,10,14,942284,18,148789,19,359733,2029069,16,174,57,singer,30
13,Fantagio ,Han Gichan ,22,X,C,16,22,25,33,196506,46,57,151694,,,Eliminated,,348200,57,183,63,dancer,10
14,Plan A Entertainment,Han Seungwoo ,26,A,A,39,39,34,30,212352,13,9,1248496,4,329581,3,1079200,2869629,3,182,63,singer,86
15,Astory Entertainment ,Heo Jinho ,22,C,B,94,89,93,83,,,,,,,Eliminated,,,83,171,55,dancer,15
16,YG Entertainment,Hidaka Mahiro ,19,D,D,47,45,53,56,71950,58,49,205369,,,Eliminated,,277319,49,174,61,dancer,24
17,Urban Works Media ,Hong Seonghyun ,24,B,C,86,98,88,85,,,,,,,Eliminated,,,85,175,55,singer,24
18,Brand New Music,Hong Seongjun ,21,B,F,53,23,33,37,143400,56,51,177128,,,Eliminated,,320528,51,175,60,rapper,16
19,Yuehua Entertainment ,Hwang Geumryul ,22,C,B,66,68,77,84,,,,,,,Eliminated,,,84,173,57,dancer,18
20,Woollim Entertainment ,Hwang Yunseong ,20,B,D,13,24,22,15,397255,21,18,689778,13,173360,15,554589,1814982,18,179,60,dancer,13
21,Individual Trainee ,Im Siu  ,21,D,-,51,,,,,,,,,,Left the Show,,,101,175,54,dancer,26
22,Astory Entertainment ,Jeon Hyunwoo ,23,B,B,35,51,63,64,,,,,,,Eliminated,,,64,173,56,rapper,27
23,Around Us Entertainment,Jeong Jaehun ,20,A,C,65,66,59,60,68564,47,39,258077,,,Eliminated,,326641,39,180,68,singer,15
24,Woollim Entertainment ,Joo Changuk ,19,D,B,24,31,37,38,140627,31,30,357875,29,,Eliminated,,498,29,180,59,dancer,15
25,AAP.Y,Jung Myunghoon ,23,B,C,90,69,71,71,,,,,,,Eliminated,,,71,173,58,rapper,20
26,Individual Trainee ,Jung Youngbin ,22,B,B,62,61,62,68,,,,,,,Eliminated,,,68,172,55,dancer,30
27,AAP.Y,Kang Hyeonsu  ,24,A,A,79,59,69,40,119932,22,20,660757,26,,Eliminated,,780,26,173,58,dancer,99
28,Starship Entertainment ,Kang Minhee ,18,X,D,11,20,18,22,311174,23,23,564822,14,173169,10,749444,1798609,10,182,60,dancer,21
29,Individual Trainee ,Kang Seok-hwa ,20,C,B,21,29,35,35,156788,34,35,301720,,,Eliminated,,458508,35,172,56,singer,13
30,C9 Entertainment,Keum Donghyun ,17,B,C,23,26,30,17,360277,16,19,680687,10,187264,14,674500,1902728,17/8,174,55,dancer,22
31,MLD Entertainment,Kim Dongbin ,19,B,C,18,16,17,26,267398,37,42,238545,,,Eliminated,,505943,42,184,64,rapper,21
32,Urban Works Media ,Kim Dongkyu ,20,C,B,76,78,84,99,,,,,,,Eliminated,,,99,176,64,rapper,7
33,Woollim Entertainment ,Kim Dongyun ,18,D,B,15,21,26,32,211787,29,31,354360,23,96480,Eliminated,,662627,23,176,61,singer,17
34,Source Music ,Kim Hyeonbin ,18,D,A,28,27,29,23,290830,27,25,432101,30,,Eliminated,,722,30,176,66,rapper,19
35,Kiwi Media Group ,Kim Hyungmin ,21,D,C,97,79,89,90,,,,,,,Eliminated,,,90,175,58,singer,14
36,ESteem,Kim Jingon ,22,X,D,61,55,65,62,,,,,,,Eliminated,,,62,185,64,dancer,4
37,Think About Entertainment ,Kim Junjae ,20,X,F,87,86,87,94,,,,,,,Eliminated,,,94,178,60,rapper,15
38,Music Works ,Kim Kookheon  ,23,A,A,29,13,15,16,361172,18,22,604095,21,,Eliminated,,965,21,176,65,singer,93
39,Krazy Entertainment ,Kim Kwanwoo ,23,D,D,80,75,80,80,,,,,,,Eliminated,,,80,181,68,dancer,22
40,Jellyfish Entertainment ,Kim Minkyu ,19,X,D,1,3,2,2,1033132,3,10,1238668,5,290944,17,472150,3034894,12,183,62,singer,8
41,Woollim Entertainment ,Kim Minseo ,18,X,F,48,54,48,47,87664,54,52,168993,,,Eliminated,,256657,52,177,52,dancer,3
42,Urban Works Media ,Kim Minseo ,18,D,B,89,87,94,82,,,,,,,Eliminated,,,82,177,53,dancer,14
43,Stone Music Entertainment ,Kim Seonghyun ,24,C,C,22,33,39,42,112110,44,44,227987,,,Eliminated,,340097,44,184,69,rapper,87
44,ESteem,Kim Seunghwan ,21,X,F,81,80,83,89,,,,,,,Eliminated,,,89,175,55,dancer,14
45,Brand New Music,Kim Sihun ,21,B,A,43,17,19,18,350549,25,24,456615,27,,Eliminated,,807,27,187,70,dancer,33
46,Individual Trainee ,Kim Sungyeon  ,18,C,B,54,52,56,59,68946,49,45,227444,,,Eliminated,,296390,45,172,54,singer,26
47,TOP Media ,Kim Wooseok ,24,B,A,5,7,6,4,933869,1,1,1728930,2,457477,2,1304033,4424309,2,173,58,singer,55
48,MBK Entertainment,Kim Yeongsang ,23,D,F,93,50,58,65,,,,,,,Eliminated,,,65,182,62,singer,48
49,OUI Entertainment ,Kim Yohan ,21,A,C,3,1,1,1,1094299,5,3,1458183,1,582503,1,1334011,4468996,1,181,66,dancer,3
50,Starship Entertainment ,Koo Jungmo ,20,X,F,2,9,9,9,669616,8,5,1334726,15,172337,12,704748,2881427,13/6,181,58,singer,14
51,A.CONIC ,Kwon Taeeun ,21,X,F,74,57,66,46,93285,32,34,320834,,,Eliminated,,414119,34,185,63,singer,3
52,Brand New Music,Lee Eun-sang ,18,A,C,14,2,3,5,931256,6,6,1313074,9,230716,X,689489,3164535,X,179,63,singer,14
53,WM Entertainment,Lee Gyuhyung ,26,C,C,85,97,86,76,,,,,,,Eliminated,,,76,182,72,dancer,66
54,Individual Trainee ,Lee Hamin ,24,A,B,50,58,67,63,,,,,,,Eliminated,,,63,177,62,rapper,41
55,MBK Entertainment,Lee Hangyul ,21,C,D,41,28,28,21,326482,17,15,928085,16,172067,7,794411,2221045,7,176,69,dancer,50
56,DSP Media,Lee Hwan ,21,B,B,46,49,60,67,,,,,,,Eliminated,,,67,169,53,singer,33
57,Individual Trainee ,Lee Hyeop ,21,C,C,40,48,52,49,85520,40,26,418222,24,,Eliminated,,503,24,177,57,singer,20
58,C9 Entertainment,Lee Jaebin ,20,B,C,73,88,91,95,,,,,,,Eliminated,,,95,171,57,singer,16
59,TOP Media ,Lee Jinhyuk ,24,B,A,38,35,32,25,274197,11,2,1480425,3,351174,11,719466,2825262,14/7,185,62,rapper,86
60,Maroo Entertainment ,Lee Jinwoo ,16,C,B,10,19,14,12,493042,4,8,1259112,22,111882,Eliminated,,1864036,22,172,60,dancer,5
61,DSP Media,Lee Junhyuk ,20,C,A,68,65,75,75,,,,,,,Eliminated,,,75,180,63,rapper,27
62,AAP.Y,Lee Midam ,23,B,C,32,30,36,36,148119,38,37,284079,,,Eliminated,,432198,37,175,56,singer,36
63,Gost Entertainment,Lee Sangho ,23,X,X,95,90,96,88,,,,,,,Eliminated,,,88,189,70,singer,5
64,iME Korea,Lee Sejin ,24,X,F,8,14,13,13,459837,20,21,632247,20,125530,18,464655,1682269,19,173,51,singer,5
65,Maroo Entertainment ,Lee Taeseung ,17,X,F,26,47,47,48,86239,55,53,166787,,,Eliminated,,253026,53,182,66,singer,3
66,E Entertainment,Lee Wonjun ,18,B,D,77,83,43,44,110290,36,47,220555,,,Eliminated,,330845,47,171,58,dancer,9
67,Maroo Entertainment ,Lee Woojin ,17,X,F,52,71,54,50,84822,42,41,244979,,,Eliminated,,329801,41,178,65,dancer,9
68,Individual Trainee ,Lee Yoogene ,16,X,F,7,12,16,27,247706,53,55,161710,,,Eliminated,,409416,55,170,57,singer,4
69,Kiwi Media Group ,Lim Dahun ,20,C,D,100,91,98,97,,,,,,,Eliminated,,,97,174,56,dancer,26
70,Starship Entertainment ,Moon Hyunbin ,20,D,A,27,36,41,41,115595,39,32,350389,,,Eliminated,,465984,32,175,60,singer,31
71,Woollim Entertainment ,Moon Junho ,20,X,F,25,38,44,51,83743,59,59,148896,,,Eliminated,,232639,59,173,57,singer,14
72,MBK Entertainment,Nam Dohyon ,16,A,D,37,4,5,6,844597,7,7,1265468,7,272795,8,764443,3147303,8,180,62,rapper,5
73,The South ,Nam Donghyun ,21,A,C,45,40,45,52,80485,57,60,134540,,,Eliminated,,215025,60,178,62,singer,17
74,NEST Entertainment,Oh Saebom ,26,C,C,99,76,64,69,,,,,,,Eliminated,,,69,189,78,singer,7
75,Individual Trainee ,Park Jinyeol ,19,C,C,64,64,73,81,,,,,,,Eliminated,,,81,174,55,rapper,28
76,Plasma Entertainment ,Park Sion ,18,X,F,84,95,85,93,,,,,,,Eliminated,,,93,170,56,dancer,5
77,sidusHQ,Park Sunho ,27,B,B,36,8,10,14,417093,26,28,397067,25,,Eliminated,,814,25,187,72,dancer,126
78,NEST Entertainment,Park Yoonsol ,24,C,A,82,84,49,43,110322,43,48,215650,,,Eliminated,,325972,48,173,60,dancer,25
79,ESteem,Park Yuri ,26,B,D,33,34,27,29,216426,33,40,246067,,,Eliminated,,462493,40,186,68,rapper,36
80,Chandelier Music,Peak Kongthap,19,D,D,34,42,51,58,69707,51,50,184282,,,Eliminated,,253989,50,186,71,singer,6
81,DSP Media,Son Dongpyo ,18,B,A,6,6,7,7,710483,12,11,1049918,12,178034,6,824389,2762824,6,166,48,singer,17
82,Kiwi Media Group ,Song Changha ,20,C,C,71,74,78,73,,,,,,,Eliminated,,,73,177,62,rapper,17
83,Starship Entertainment ,Song Hyeongjun ,18,X,D,9,10,4,3,1024849,2,4,1418328,8,242818,4,1049222,3735217,4,174,55,dancer,15
84,Music Works ,Song Yuvin ,22,A,A,17,5,8,8,679286,9,12,1015134,17,152724,16,479644,2326788,15,180,65,singer,62
85,DS Entertainment,Steven Kim ,20,X,D,70,72,79,72,,,,,,,Eliminated,,,72,176,57,singer,32
