,Company,Name,Age,Judges_Evaluation1,Judges_Evaluation2,Ranking_Ep.1,Ranking_Ep.2,Ranking_Ep.3,Ranking_Ep.5,Votes_Ep.5,Ranking_Ep.6,Ranking_Ep.8,Votes_Ep.8,Ranking_Ep.11,Votes_Ep.11,Ranking_Ep.12,Votes_Ep.12,Total_Votes,Final_Ranking,Height,Weight,Skill,TrainningMonths
0,OUI Entertainment ,Kim Yohan ,21,A,C,3,1,1,1,1094299,5,3,1458183,1,582503,1,1334011,4468996,1,181,66,dancer,3
1,TOP Media ,Kim Wooseok ,24,B,A,5,7,6,4,933869,1,1,1728930,2,457477,2,1304033,4424309,2,173,58,singer,55
2,Plan A Entertainment,Han Seungwoo ,26,A,A,39,39,34,30,212352,13,9,1248496,4,329581,3,1079200,2869629,3,182,63,singer,86
3,Starship Entertainment ,Song Hyeongjun ,18,X,D,9,10,4,3,1024849,2,4,1418328,8,242818,4,1049222,3735217,4,174,55,dancer,15
4,Yuehua Entertainment ,Cho Seungyoun ,24,B,B,67,41,38,28,235056,19,17,754435,6,281580,5,929311,2200382,5,183,68,rapper,108
5,DSP Media,Son Dongpyo ,18,B,A,6,6,7,7,710483,12,11,1049918,12,178034,6,824389,2762824,6,166,48,singer,17
6,MBK Entertainment,Lee Hangyul ,21,C,D,41,28,28,21,326482,17,15,928085,16,172067,7,794411,2221045,7,176,69,dancer,50
7,MBK Entertainment,Nam Dohyon ,16,A,D,37,4,5,6,844597,7,7,1265468,7,272795,8,764443,3147303,8,180,62,rapper,5
8,Woollim Entertainment ,Cha Junho ,18,C,C,4,11,11,11,499672,15,13,1011352,11,181445,9,756939,2449408,9,178,63,singer,15
9,Starship Entertainment ,Kang Minhee ,18,X,D,11,20,18,22,311174,23,23,564822,14,173169,10,749444,1798609,10,182,60,dancer,21
10,Brand New Music,Lee Eun-sang ,18,A,C,14,2,3,5,931256,6,6,1313074,9,230716,X,689489,3164535,X,179,63,singer,14
