Name,Trainning Period (in months),Skill
Anzardi Timothée (???? ???),3,singer
Baek Jin (??),20,dancer
Byun Seongtae (???),41,dancer
Cha Junho (???),15,singer
Cho Seungyoun (???),108,rapper
Choi Byungchan (???),59,singer
Choi Byunghoon (???),13,rapper
Choi Jinhwa (???),7,rapper
Choi Junseong (???),23,singer
Choi Sihyuk (???),20,singer
Choi Suhwan (???),25,singer
Gwon Huijun (???),3,dancer
Ham Wonjin (???),30,singer
Han Gichan (???),10,dancer
Han Seungwoo (???),86,singer
Heo Jinho (???),15,dancer
Hidaka Mahiro (??? ???) / ?????),24,dancer
Hong Seonghyun (???),24,singer
Hong Seongjun (???),16,rapper
Hwang Geumryul (???),18,dancer
Hwang Yunseong (???),13,dancer
Im Siu (???),26,dancer
Jeon Hyunwoo (???),27,rapper
Jeong Jaehun (???),15,singer
Joo Changuk (???),15,dancer
Jung Myunghoon (???),20,rapper
Jung Youngbin (???),30,dancer
Kang Hyeonsu (???),99,dancer
Kang Minhee (???),21,dancer
Kang Seok-hwa (???),13,singer
Keum Donghyun (???),22,dancer
Kim Dongbin (???),21,rapper
Kim Dongkyu (???),7,rapper
Kim Dongyun (???),17,singer
Kim Hyeonbin (???),19,rapper
Kim Hyungmin (???),14,singer
Kim Jingon (???),4,dancer
Kim Junjae (???),15,rapper
Kim Kookheon (???),93,singer
Kim Kwanwoo (???),22,dancer
Kim Minkyu (???),8,singer
Kim Minseo (???),3,dancer
Kim Minseo (???),14,dancer
Kim Seonghyun (???),87,rapper
Kim Seunghwan (???),14,dancer
Kim Sihun (???),33,dancer
Kim Sungyeon (???),26,singer
Kim Wooseok (???),55,singer
Kim Yeongsang (???),48,singer
Kim Yohan (???),3,dancer
Koo Jungmo (???),14,singer
Kwon Taeeun (???),3,singer
Lee Eun-sang (???),14,singer
Lee Gyuhyung (???),66,dancer
Lee Hamin (???),41,rapper
Lee Hangyul (???),50,dancer
Lee Hwan (??),33,singer
Lee Hyeop (??),20,singer
Lee Jaebin (???),16,singer
Lee Jinhyuk (???),86,rapper
Lee Jinwoo (???),5,dancer
Lee Junhyuk (???),27,rapper
Lee Midam (???),36,singer
Lee Sangho (???),5,singer
Lee Sejin (???),5,singer
Lee Taeseung (???),3,singer
Lee Wonjun (???),9,dancer
Lee Woojin (???),9,dancer
Lee Yoogene (???),4,singer
Lim Dahun (???),26,dancer
Moon Hyunbin (???),31,singer
Moon Junho (???),14,singer
Nam Dohyon (???),5,rapper
Nam Donghyun (???),17,singer
Oh Saebom (???),7,singer
Park Jinyeol (???),28,rapper
Park Sion (???),5,dancer
Park Sunho (???),126,dancer
Park Yoonsol (???),25,dancer
Park Yuri (??),36,rapper
Peak Kongthap,6,singer
Son Dongpyo (???),17,singer
Song Changha (???),17,rapper
Song Hyeongjun (???),15,dancer
Song Yuvin (???),62,singer
Steven Kim (? ???),32,singer
Sung Minseo (???),12,rapper
Tony Yu (??) / (???),8,singer
Tsai Chia Hao (???) / (???),15,dancer
Uehara Jun (???? ?) / (???),27,rapper
Wang Jyunhao (???) / (???),36,dancer
Wei Ziyue (???) / (???),8,dancer
Won Hyuk (??),14,singer
Won Hyunsik (???),33,singer
Woo Jewon (???),23,singer
Yoo Gunmin (???),38,singer
Yoon Minguk (???),25,singer
Yu Seongjun (???),27,rapper
Yun Hyunjo (???),8,rapper
Yun Junghwan (???),30,singer
Yun Seobin (???),19,singer
